file,processed,processed_time
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_130219.wav,true,2020-05-23T14:21:13.337
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_131219.wav,true,2020-05-23T14:21:19.927
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_132219.wav,true,2020-05-23T14:21:33.517
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_133219.wav,true,2020-05-23T14:21:40.235
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_134219.wav,true,2020-05-23T14:21:55.138
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_135219.wav,true,2020-05-23T14:22:02.718
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_140219.wav,true,2020-05-23T14:22:16.383
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_141219.wav,true,2020-05-23T14:22:28.705
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_142219.wav,true,2020-05-23T14:22:39.207
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_143219.wav,true,2020-05-23T14:22:50.634
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_144219.wav,true,2020-05-23T14:23:01.658
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_145219.wav,true,2020-05-23T14:23:11.42
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_150219.wav,true,2020-05-23T14:23:22.139
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_151219.wav,true,2020-05-23T14:23:33.882
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_152219.wav,true,2020-05-23T14:23:44.63
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_153219.wav,true,2020-05-23T14:23:53.945
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_154219.wav,true,2020-05-23T14:24:05.348
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_155219.wav,true,2020-05-23T14:24:14.702
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_160219.wav,true,2020-05-23T14:24:26.026
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_161219.wav,true,2020-05-23T14:24:36.061
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_162219.wav,true,2020-05-23T14:24:48.014
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_163219.wav,true,2020-05-23T14:24:56.975
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_164219.wav,true,2020-05-23T14:25:09.673
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_165219.wav,true,2020-05-23T14:25:19.033
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_170219.wav,true,2020-05-23T14:25:30.403
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_171219.wav,true,2020-05-23T14:25:39.757
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_172219.wav,true,2020-05-23T14:25:49.996
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_173219.wav,true,2020-05-23T14:26:00.071
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_174219.wav,true,2020-05-23T14:26:10.793
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_175219.wav,true,2020-05-23T14:26:20.653
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_180219.wav,true,2020-05-23T14:26:32.728
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_181219.wav,true,2020-05-23T14:26:42.687
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_182219.wav,true,2020-05-23T14:26:55.485
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_183219.wav,true,2020-05-23T14:27:04.575
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_184219.wav,true,2020-05-23T14:27:15.817
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_185219.wav,true,2020-05-23T14:27:25.607
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_190219.wav,true,2020-05-23T14:27:36.405
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_191219.wav,true,2020-05-23T14:27:46.727
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_192219.wav,true,2020-05-23T14:27:57.872
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_193219.wav,true,2020-05-23T14:28:06.725
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_194219.wav,true,2020-05-23T14:28:17.879
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_195219.wav,true,2020-05-23T14:28:28.246
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_200219.wav,true,2020-05-23T14:28:39.686
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_201219.wav,true,2020-05-23T14:28:50.771
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_202219.wav,true,2020-05-23T14:29:00.383
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_203219.wav,true,2020-05-23T14:29:12.385
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_204219.wav,true,2020-05-23T14:29:23.421
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_205219.wav,true,2020-05-23T14:29:33.609
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_210219.wav,true,2020-05-23T14:29:43.43
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_211219.wav,true,2020-05-23T14:29:54.659
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_212219.wav,true,2020-05-23T14:30:05.919
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_213219.wav,true,2020-05-23T14:30:17.985
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_214219.wav,true,2020-05-23T14:30:27.485
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_215219.wav,true,2020-05-23T14:30:40.19
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_220219.wav,true,2020-05-23T14:30:49.401
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_221219.wav,true,2020-05-23T14:30:59.812
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_222219.wav,true,2020-05-23T14:31:13.393
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_223219.wav,true,2020-05-23T14:31:20.659
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_224219.wav,true,2020-05-23T14:31:34.771
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_225219.wav,true,2020-05-23T14:31:43.172
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_230219.wav,true,2020-05-23T14:31:57.295
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_231219.wav,true,2020-05-23T14:32:04.863
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_232219.wav,true,2020-05-23T14:32:20.613
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_233219.wav,true,2020-05-23T14:32:24.367
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_234219.wav,true,2020-05-23T14:32:42.949
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_235219.wav,true,2020-05-23T14:32:45.544
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_000219.wav,true,2020-05-23T14:33:05.956
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_001219.wav,true,2020-05-23T14:33:07.012
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_002219.wav,true,2020-05-23T14:33:26.133
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_003219.wav,true,2020-05-23T14:33:30.338
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_004219.wav,true,2020-05-23T14:33:47.528
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_005219.wav,true,2020-05-23T14:33:51.918
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_010219.wav,true,2020-05-23T14:34:09.44
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_011219.wav,true,2020-05-23T14:34:12.122
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_012219.wav,true,2020-05-23T14:34:31.42
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_013219.wav,true,2020-05-23T14:34:33.508
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_014219.wav,true,2020-05-23T14:34:53.694
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_015219.wav,true,2020-05-23T14:34:55.529
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_020219.wav,true,2020-05-23T14:35:17.534
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_021219.wav,true,2020-05-23T14:35:18.342
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_022219.wav,true,2020-05-23T14:35:38.709
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_023219.wav,true,2020-05-23T14:35:39.409
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_024219.wav,true,2020-05-23T14:35:59.569
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_025219.wav,true,2020-05-23T14:36:00.075
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_030219.wav,true,2020-05-23T14:36:20.525
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_031219.wav,true,2020-05-23T14:36:21.001
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_032219.wav,true,2020-05-23T14:36:42.151
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_033219.wav,true,2020-05-23T14:36:41.245
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_034219.wav,true,2020-05-23T14:37:01.014
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_035219.wav,true,2020-05-23T14:37:02.279
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_040219.wav,true,2020-05-23T14:37:22.212
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_041219.wav,true,2020-05-23T14:37:27.67
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_042219.wav,true,2020-05-23T14:37:42.795
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_043219.wav,true,2020-05-23T14:37:48.279
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_044219.wav,true,2020-05-23T14:38:04.018
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_045219.wav,true,2020-05-23T14:38:09.461
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_050219.wav,true,2020-05-23T14:38:23.537
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_051219.wav,true,2020-05-23T14:38:32.663
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_052219.wav,true,2020-05-23T14:38:44.987
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_053219.wav,true,2020-05-23T14:38:53.335
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_054219.wav,true,2020-05-23T14:39:06.567
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_055219.wav,true,2020-05-23T14:39:15.392
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_060219.wav,true,2020-05-23T14:39:26.871
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_061219.wav,true,2020-05-23T14:39:34.354
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_062219.wav,true,2020-05-23T14:39:48.004
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_063219.wav,true,2020-05-23T14:39:58.052
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_064219.wav,true,2020-05-23T14:40:09.551
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_065219.wav,true,2020-05-23T14:40:20.43
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_070219.wav,true,2020-05-23T14:40:30.508
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_071219.wav,true,2020-05-23T14:40:42.646
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_072219.wav,true,2020-05-23T14:40:52.634
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_073219.wav,true,2020-05-23T14:41:03.026
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_074219.wav,true,2020-05-23T14:41:14.17
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_075219.wav,true,2020-05-23T14:41:25.08
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_080219.wav,true,2020-05-23T14:41:34.837
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_081219.wav,true,2020-05-23T14:41:46.822
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_082219.wav,true,2020-05-23T14:41:55.54
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_083219.wav,true,2020-05-23T14:42:08.992
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_084219.wav,true,2020-05-23T14:42:15.937
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_085219.wav,true,2020-05-23T14:42:31.844
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_090219.wav,true,2020-05-23T14:42:37.539
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_091219.wav,true,2020-05-23T14:42:52.185
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_092219.wav,true,2020-05-23T14:42:57.391
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_093219.wav,true,2020-05-23T14:43:12.58
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_094219.wav,true,2020-05-23T14:43:18.245
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_095219.wav,true,2020-05-23T14:43:33.394
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_100219.wav,true,2020-05-23T14:43:49.603
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_101219.wav,true,2020-05-23T14:43:53.816
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_102219.wav,true,2020-05-23T14:44:10.829
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_103219.wav,true,2020-05-23T14:44:14.816
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_104219.wav,true,2020-05-23T14:44:31.475
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_105219.wav,true,2020-05-23T14:44:35.331
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_110218.wav,true,2020-05-23T14:44:53.843
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_111218.wav,true,2020-05-23T14:44:59.254
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_112218.wav,true,2020-05-23T14:45:14.931
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_113218.wav,true,2020-05-23T14:45:26.66
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_114218.wav,true,2020-05-23T14:45:36.048
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_115218.wav,true,2020-05-23T14:45:46.767
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_120218.wav,true,2020-05-23T14:45:58.058
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_121218.wav,true,2020-05-23T14:46:06.714
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_122218.wav,true,2020-05-23T14:46:17.482
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_123218.wav,true,2020-05-23T14:46:27.787
