file,time,date,processed_time
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_115219.wav_clicks.jld2,2020-05-01T11:52:19.0,2020-05-01,2020-05-23T14:19:52.843
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_120219.wav_clicks.jld2,2020-05-01T12:02:19.0,2020-05-01,2020-05-23T14:20:09.124
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_121219.wav_clicks.jld2,2020-05-01T12:12:19.0,2020-05-01,2020-05-23T14:20:13.247
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_122219.wav_clicks.jld2,2020-05-01T12:22:19.0,2020-05-01,2020-05-23T14:20:29.814
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_123219.wav_clicks.jld2,2020-05-01T12:32:19.0,2020-05-01,2020-05-23T14:20:33.837
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_124219.wav_clicks.jld2,2020-05-01T12:42:19.0,2020-05-01,2020-05-23T14:20:51.995
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_125219.wav_clicks.jld2,2020-05-01T12:52:19.0,2020-05-01,2020-05-23T14:20:59.055
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_130219.wav_clicks.jld2,2020-05-01T13:02:19.0,2020-05-01,2020-05-23T14:21:13.337
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_131219.wav_clicks.jld2,2020-05-01T13:12:19.0,2020-05-01,2020-05-23T14:21:19.927
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_132219.wav_clicks.jld2,2020-05-01T13:22:19.0,2020-05-01,2020-05-23T14:21:33.517
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_133219.wav_clicks.jld2,2020-05-01T13:32:19.0,2020-05-01,2020-05-23T14:21:40.235
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_134219.wav_clicks.jld2,2020-05-01T13:42:19.0,2020-05-01,2020-05-23T14:21:55.138
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_135219.wav_clicks.jld2,2020-05-01T13:52:19.0,2020-05-01,2020-05-23T14:22:02.718
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_140219.wav_clicks.jld2,2020-05-01T14:02:19.0,2020-05-01,2020-05-23T14:22:16.383
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_141219.wav_clicks.jld2,2020-05-01T14:12:19.0,2020-05-01,2020-05-23T14:22:28.705
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_142219.wav_clicks.jld2,2020-05-01T14:22:19.0,2020-05-01,2020-05-23T14:22:39.207
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_143219.wav_clicks.jld2,2020-05-01T14:32:19.0,2020-05-01,2020-05-23T14:22:50.634
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_144219.wav_clicks.jld2,2020-05-01T14:42:19.0,2020-05-01,2020-05-23T14:23:01.658
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_145219.wav_clicks.jld2,2020-05-01T14:52:19.0,2020-05-01,2020-05-23T14:23:11.42
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_150219.wav_clicks.jld2,2020-05-01T15:02:19.0,2020-05-01,2020-05-23T14:23:22.139
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_151219.wav_clicks.jld2,2020-05-01T15:12:19.0,2020-05-01,2020-05-23T14:23:33.882
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_152219.wav_clicks.jld2,2020-05-01T15:22:19.0,2020-05-01,2020-05-23T14:23:44.63
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_153219.wav_clicks.jld2,2020-05-01T15:32:19.0,2020-05-01,2020-05-23T14:23:53.945
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_154219.wav_clicks.jld2,2020-05-01T15:42:19.0,2020-05-01,2020-05-23T14:24:05.348
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_155219.wav_clicks.jld2,2020-05-01T15:52:19.0,2020-05-01,2020-05-23T14:24:14.702
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_160219.wav_clicks.jld2,2020-05-01T16:02:19.0,2020-05-01,2020-05-23T14:24:26.026
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_161219.wav_clicks.jld2,2020-05-01T16:12:19.0,2020-05-01,2020-05-23T14:24:36.061
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_162219.wav_clicks.jld2,2020-05-01T16:22:19.0,2020-05-01,2020-05-23T14:24:48.014
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_163219.wav_clicks.jld2,2020-05-01T16:32:19.0,2020-05-01,2020-05-23T14:24:56.975
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_164219.wav_clicks.jld2,2020-05-01T16:42:19.0,2020-05-01,2020-05-23T14:25:09.673
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_165219.wav_clicks.jld2,2020-05-01T16:52:19.0,2020-05-01,2020-05-23T14:25:19.033
